Section,Hour,traffic_count,commute_time,disturbance,breaks
3,11,4924,24,269,810
3,12,4929,24,270,810
3,13,4859,23,266,793
3,14,4958,24,270,807
3,15,5011,24,283,853
3,16,5098,24,288,867
3,17,5122,24,289,871
3,18,5211,25,294,883
3,19,5195,24,290,879
3,20,5243,25,293,879
3,21,5333,25,296,898
3,22,5313,25,305,917
3,23,5398,25,303,906
4,0,5396,25,308,932
4,1,5306,25,296,884
4,2,5226,25,287,868
4,3,5218,25,295,888
4,4,5296,25,291,870
4,5,5347,25,302,902
4,6,5291,25,295,884
4,7,5373,25,308,927
4,8,5426,25,308,932
4,9,5509,25,301,908
4,10,5437,25,311,933
4,11,5525,25,310,932
4,12,5478,25,307,926
4,13,5505,25,314,939
4,14,5502,25,306,923
4,15,5576,26,316,945
4,16,5481,25,301,909
4,17,5433,25,302,901
4,18,5347,25,300,904
4,19,5361,25,298,892
4,20,5281,25,297,894
4,21,5343,25,296,890
4,22,5432,25,306,920
4,23,5420,25,308,932
5,0,5346,25,296,888
5,1,5335,25,303,906
5,2,5256,25,300,897
5,3,5249,25,294,891
5,4,5175,24,283,845
5,5,5170,24,297,897
5,6,5120,24,280,840
5,7,5186,24,290,866
5,8,5254,25,287,867
5,9,5175,24,297,895
5,10,5229,25,301,911
5,11,5157,24,285,850
5,12,5213,25,293,882
5,13,5125,24,292,880
5,14,5085,24,289,865
5,15,5120,24,294,891
5,16,5138,24,282,848
5,17,5202,25,289,866
5,18,5271,25,289,872
5,19,5324,25,294,883
5,20,5324,25,300,900
5,21,5406,25,296,884
5,22,5506,25,315,952
5,23,5455,25,298,898
6,0,5430,25,303,913
6,1,5394,25,303,917
6,2,5402,25,302,912
6,3,5409,25,311,937
6,4,5463,25,305,925
6,5,5366,25,293,889
6,6,5360,25,300,902
6,7,5396,25,302,915
6,8,5340,25,299,904
6,9,5340,25,304,922
6,10,5260,25,289,865
6,11,5281,25,295,889
6,12,5277,25,289,864
6,13,5183,24,289,866
6,14,5195,24,290,870
6,15,5151,24,295,881
6,16,5200,25,289,876
6,17,5213,25,292,873
6,18,5123,24,280,848
6,19,5109,24,282,849
6,20,5117,24,286,864
6,21,5113,24,283,855
6,22,5108,24,283,845
6,23,5199,24,292,877
7,0,5179,24,289,874
7,1,5253,25,296,883
7,2,5323,25,301,910
7,3,5244,25,293,879
7,4,5145,24,285,864
7,5,5240,25,301,911
7,6,5244,25,298,889
7,7,5244,25,287,859
7,8,5321,25,292,872
7,9,5281,25,301,901
7,10,5376,25,305,924
7,11,5369,25,299,903
7,12,5322,25,293,877
7,13,5345,25,294,885
7,14,5369,25,304,907
7,15,5361,25,300,898
7,16,5365,25,303,919
7,17,5336,25,295,892
7,18,5276,25,290,873
7,19,5322,25,305,910
7,20,5338,25,305,912
7,21,5376,25,301,911
7,22,5343,25,293,879
7,23,5331,25,298,899
8,0,5294,25,301,907
8,1,5214,25,286,862
8,2,5197,24,290,875
8,3,5110,24,292,885
8,4,5081,24,281,840
8,5,5025,24,275,835
8,6,5048,24,284,853
8,7,5095,24,287,860
8,8,5177,24,295,888
8,9,5273,25,296,898
8,10,5219,25,291,878
8,11,5199,24,292,876
8,12,5295,25,293,883
8,13,5216,25,288,873
8,14,5116,24,293,887
8,15,5019,24,280,839
8,16,4935,24,272,820
8,17,4924,24,277,832
8,18,4855,23,268,811
8,19,4800,23,263,790
8,20,4761,23,264,802
8,21,4837,23,277,835
8,22,4898,24,273,821
8,23,4997,24,279,841
9,0,4939,24,283,850
9,1,5024,24,285,864
9,2,5011,24,285,864
9,3,5094,24,288,869
9,4,5164,24,287,856
9,5,5227,25,291,871
9,6,5244,25,300,902
9,7,5292,25,290,873
9,8,5302,25,293,884
9,9,5237,25,291,880
9,10,5144,24,286,854
9,11,5146,24,294,878
9,12,5085,24,286,855
9,13,5160,24,292,882
9,14,5091,24,292,878
9,15,5127,24,282,847
9,16,5090,24,279,842
9,17,5083,24,280,849
9,18,5118,24,287,869
9,19,5121,24,287,870
9,20,5158,24,286,853
9,21,5074,24,278,830
9,22,5121,24,291,874
9,23,5096,24,285,862
10,0,5167,24,289,864
10,1,5238,25,294,887
10,2,5259,25,294,886
10,3,5312,25,302,912
10,4,5231,25,293,878
10,5,5318,25,290,872
10,6,5308,25,299,893
10,7,5316,25,295,888
10,8,5235,25,292,874
10,9,5328,25,295,891
10,10,5376,25,307,927
10,11,5381,25,300,909
10,12,5307,25,302,908
10,13,5300,25,300,900
10,14,5388,25,304,918
10,15,5357,25,300,899
10,16,5372,25,301,911
10,17,5464,25,306,928
10,18,5386,25,301,911
10,19,5464,25,299,894
10,20,5562,26,308,924
10,21,5651,26,313,941
10,22,5624,26,322,965
10,23,5616,26,313,941
11,0,5593,26,308,923
11,1,5571,26,313,939
11,2,5471,25,306,921
11,3,5395,25,304,913
11,4,5392,25,298,889
11,5,5407,25,304,912
11,6,5483,25,306,926
11,7,5481,25,312,933
11,8,5458,25,299,895
11,9,5363,25,306,920
11,10,5326,25,306,926
11,11,5321,25,300,895
11,12,5236,25,296,888
11,13,5240,25,293,879
11,14,5282,25,290,869
11,15,5224,25,297,886
11,16,5161,24,282,854
11,17,5236,25,296,894
11,18,5249,25,302,905
11,19,5208,25,299,900
11,20,5230,25,297,886
11,21,5152,24,283,857
11,22,5127,24,287,861
11,23,5083,24,283,846
12,0,4989,24,272,818
12,1,4936,24,272,820
12,2,5005,24,282,844
12,3,5080,24,284,862
12,4,5102,24,284,861
12,5,5068,24,278,833
12,6,5131,24,290,868
12,7,5205,25,297,893
12,8,5215,25,292,879
12,9,5241,25,295,883
12,10,5201,25,287,865
12,11,5260,25,289,869
12,12,5360,25,294,890
12,13,5371,25,301,899
12,14,5361,25,295,887
12,15,5420,25,303,918
12,16,5517,25,316,957
12,17,5590,26,310,934
12,18,5505,25,303,917
12,19,5524,25,303,905
12,20,5463,25,305,911
12,21,5372,25,305,919
12,22,5391,25,296,894
12,23,5431,25,306,915
13,0,5401,25,308,934
13,1,5404,25,298,902
13,2,5447,25,299,903
13,3,5382,25,304,918
13,4,5342,25,295,895
13,5,5382,25,299,901
13,6,5291,25,291,879
13,7,5257,25,288,868
13,8,5222,25,294,888
13,9,5219,25,300,907
13,10,5293,25,300,905
13,11,5353,25,301,905
13,12,5379,25,306,921
13,13,5307,25,296,888
13,14,5257,25,298,890
13,15,5191,24,286,863
13,16,5091,24,282,842
13,17,5068,24,284,856
13,18,5063,24,289,869
13,19,4965,24,279,844
13,20,5045,24,277,828
13,21,5064,24,288,867
13,22,4995,24,276,835
13,23,5065,24,277,839
14,0,4971,24,272,825
14,1,4900,24,274,822
14,2,4991,24,272,824
14,3,4986,24,285,861
14,4,4962,24,276,836
14,5,4915,24,275,830
14,6,5006,24,275,835
14,7,5095,24,281,838
14,8,5180,24,292,881
14,9,5138,24,291,870
14,10,5202,25,293,875
14,11,5284,25,293,880
14,12,5231,25,292,876
14,13,5234,25,300,908
14,14,5293,25,303,918
14,15,5376,25,303,918
14,16,5393,25,300,908
14,17,5443,25,298,902
14,18,5378,25,295,889
14,19,5369,25,308,923
14,20,5406,25,309,923
14,21,5413,25,298,900
14,22,5409,25,311,928
14,23,5432,25,297,894
15,0,5425,25,300,904
15,1,5350,25,300,902
15,2,5287,25,303,908
15,3,5367,25,307,924
15,4,5463,25,309,932
15,5,5471,25,302,910
15,6,5543,26,310,934
15,7,5484,25,315,948
15,8,5521,25,311,939
15,9,5460,25,303,907
15,10,5515,25,301,909
15,11,5544,26,309,930
15,12,5549,26,305,910
15,13,5539,26,314,949
15,14,5538,26,318,959
15,15,5441,25,311,931
15,16,5418,25,310,927
15,17,5486,25,306,917
15,18,5386,25,297,891
15,19,5288,25,290,873
15,20,5361,25,300,900
15,21,5379,25,302,916
15,22,5317,25,299,901
15,23,5369,25,308,932
16,0,5386,25,298,904
16,1,5298,25,297,894
16,2,5333,25,296,891
16,3,5400,25,295,883
16,4,5494,25,305,923
16,5,5448,25,312,944
16,6,5476,25,311,937
16,7,5428,25,307,923
16,8,5376,25,297,895
16,9,5461,25,299,900
16,10,5477,25,302,906
16,11,5457,25,306,922
16,12,5531,25,308,932
16,13,5566,26,314,944
16,14,5523,25,305,919
16,15,5572,26,314,937
16,16,5489,25,309,935
16,17,5427,25,303,904
16,18,5389,25,296,897
16,19,5433,25,301,908
16,20,5466,25,310,934
16,21,5461,25,308,925
16,22,5547,26,308,931
16,23,5571,26,307,922
17,0,5640,26,311,940
17,1,5594,26,316,950
17,2,5562,26,309,924
17,3,5610,26,319,963
17,4,5573,26,314,948
17,5,5646,26,323,969
17,6,5725,26,324,971
17,7,5731,26,322,976
17,8,5812,26,333,1003
17,9,5732,26,313,945
17,10,5731,26,325,985
17,11,5710,26,322,973
17,12,5783,26,330,990
17,13,5861,26,332,996
17,14,5821,26,320,961
17,15,5850,26,327,987
17,16,5883,27,335,1000
17,17,5969,27,336,1013
17,18,5962,27,340,1021
17,19,5882,27,324,976
17,20,5801,26,326,988
17,21,5813,26,320,966
17,22,5732,26,324,968
17,23,5632,26,308,934
18,0,5628,26,309,931
18,1,5574,26,306,918
18,2,5563,26,309,922
18,3,5562,26,315,949
18,4,5622,26,311,939
18,5,5650,26,314,937
18,6,5741,26,326,982
18,7,5765,26,327,976
18,8,5665,26,324,980
18,9,5652,26,319,953
18,10,5633,26,313,948
18,11,5619,26,317,948
18,12,5605,26,314,942
18,13,5611,26,310,939
18,14,5618,26,320,964
18,15,5599,26,313,946
18,16,5528,25,307,927
18,17,5436,25,302,904
18,18,5481,25,309,935
18,19,5551,26,304,913
18,20,5538,26,306,917
18,21,5576,26,315,948
18,22,5610,26,312,946
18,23,5514,25,305,913
19,0,5473,25,306,921
19,1,5422,25,302,913
19,2,5413,25,304,919
19,3,5442,25,307,925
19,4,5504,25,303,906
19,5,5576,26,320,959
19,6,5541,26,318,950
19,7,5641,26,318,958
19,8,5586,26,315,940
19,9,5521,25,315,952
19,10,5565,26,304,915
19,11,5590,26,313,946
19,12,5684,26,319,955
19,13,5746,26,319,956
19,14,5798,26,329,995
19,15,5891,27,334,1001
19,16,5910,27,324,981
19,17,5893,27,330,997
19,18,5879,27,323,975
19,19,5837,26,326,974
19,20,5770,26,331,989
19,21,5705,26,321,966
19,22,5685,26,315,941
19,23,5723,26,327,978
20,0,5678,26,313,943
20,1,5721,26,325,978
20,2,5766,26,330,985
20,3,5731,26,319,962
20,4,5796,26,326,978
20,5,5774,26,329,990
20,6,5836,26,334,1000
20,7,5833,26,323,964
20,8,5770,26,319,956
20,9,5690,26,323,966
20,10,5765,26,325,984
20,11,5813,26,318,961
20,12,5864,26,333,1001
20,13,5827,26,323,976
20,14,5846,26,327,984
20,15,5771,26,329,982
20,16,5812,26,329,996
20,17,5757,26,328,993
20,18,5757,26,319,956
20,19,5674,26,318,949
20,20,5609,26,311,930
20,21,5682,26,316,954
20,22,5644,26,317,957
20,23,5713,26,326,982
21,0,5615,26,312,945
21,1,5533,25,317,960
21,2,5433,25,304,907
21,3,5532,25,302,902
21,4,5623,26,313,946
21,5,5564,26,315,949
21,6,5585,26,317,952
21,7,5557,26,312,944
21,8,5561,26,307,925
21,9,5513,25,301,910
21,10,5512,25,316,952
21,11,5427,25,300,897
21,12,5520,25,312,940
21,13,5588,26,309,931
21,14,5543,26,318,956
21,15,5554,26,315,940
21,16,5602,26,318,963
21,17,5549,26,311,932
21,18,5479,25,311,933
21,19,5541,26,310,925
21,20,5544,26,309,933
21,21,5541,26,315,943
21,22,5444,25,307,931
21,23,5474,25,312,944
22,0,5506,25,303,918
22,1,5462,25,299,892
22,2,5431,25,302,909
22,3,5363,25,294,887
22,4,5459,25,298,899
22,5,5375,25,298,893
22,6,5362,25,303,918
22,7,5285,25,291,869
22,8,5242,25,291,869
22,9,5180,24,294,877
22,10,5097,24,291,883
22,11,5144,24,293,879
22,12,5085,24,288,859
22,13,5034,24,286,859
22,14,5056,24,282,852
22,15,5052,24,276,837
22,16,5019,24,284,853
22,17,4949,24,282,841
22,18,4918,24,278,830
22,19,4829,23,272,822
22,20,4790,23,267,808
22,21,4777,23,263,792
22,22,4728,23,271,814
22,23,4715,23,266,805
23,0,4704,23,263,793
23,1,4746,23,270,817
23,2,4809,23,265,793
23,3,4735,23,265,793
23,4,4684,23,257,778
23,5,4643,23,263,793
23,6,4561,23,255,762
23,7,4622,23,252,757
23,8,4683,23,260,783
23,9,4679,23,263,793
23,10,4656,23,260,783
23,11,4744,23,263,788
23,12,4824,23,274,819
23,13,4924,24,272,816
23,14,4929,24,276,830
23,15,4986,24,275,821
23,16,4986,24,285,852
23,17,4914,24,271,813
23,18,4831,23,272,817
23,19,4851,23,272,815
23,20,4891,24,282,842
23,21,4793,23,267,802
23,22,4716,23,268,814
23,23,4727,23,267,803
24,0,4721,23,271,822
24,1,4714,23,270,814
24,2,4664,23,256,765
24,3,4735,23,260,779
24,4,4823,23,268,806
24,5,4914,24,276,835
24,6,4985,24,272,815
24,7,4895,24,279,837
24,8,4867,24,276,831
24,9,4874,24,275,823
24,10,4841,23,274,818
24,11,4852,23,269,813
24,12,4914,24,282,852
24,13,4900,24,271,811
24,14,4810,23,270,810
24,15,4716,23,267,808
24,16,4696,23,269,813
24,17,4716,23,271,820
24,18,4628,23,255,769
24,19,4592,23,251,750
24,20,4571,23,264,798
24,21,4637,23,254,758
24,22,4716,23,262,795
24,23,4652,23,265,800
25,0,4605,23,258,782
25,1,4641,23,262,784
25,2,4624,23,264,791
25,3,4551,23,251,761
25,4,4513,22,251,760
25,5,4573,23,264,799
25,6,4668,23,254,765
25,7,4606,23,261,786
25,8,4559,23,262,796
25,9,4622,23,263,784
25,10,4537,23,254,758
25,11,4522,22,258,772
25,12,4441,22,254,765
25,13,4354,22,247,748
25,14,4266,22,240,719
25,15,4222,22,239,725
25,16,4268,22,232,693
25,17,4228,22,240,725
25,18,4152,21,237,716
25,19,4188,21,230,695
25,20,4149,21,237,717
25,21,4069,21,224,675
25,22,3979,21,221,663
25,23,3976,21,230,699
26,0,3915,21,228,680
26,1,3960,21,229,690
26,2,3904,21,212,643
26,3,3832,20,217,653
26,4,3888,21,219,662
26,5,3898,21,218,655
26,6,3852,20,209,633
26,7,3882,21,221,665
26,8,3802,20,214,645
26,9,3816,20,219,658
26,10,3772,20,206,628
26,11,3867,21,221,658
26,12,3807,20,221,667
26,13,3715,20,204,617
26,14,3783,20,214,643
26,15,3765,20,204,609
26,16,3847,20,213,638
26,17,3908,21,224,669
26,18,3926,21,214,648
26,19,4003,21,227,687
26,20,3923,21,214,648
26,21,3933,21,224,676
26,22,3859,20,221,658
26,23,3897,21,224,679
27,0,3951,21,227,678
27,1,3920,21,218,659
27,2,3955,21,217,646
27,3,4030,21,220,664
27,4,4010,21,221,673
27,5,4088,21,235,700
27,6,4157,21,228,689
27,7,4183,21,234,707
27,8,4254,22,231,703
27,9,4213,22,239,723
27,10,4284,22,246,747
27,11,4381,22,239,715
27,12,4474,22,257,766
27,13,4557,23,259,780
27,14,4578,23,262,794
27,15,4664,23,256,763
27,16,4676,23,257,777
27,17,4707,23,268,801
27,18,4649,23,260,789
27,19,4560,23,263,796
27,20,4520,22,261,790
27,21,4602,23,265,797
27,22,4585,23,251,749
27,23,4548,23,249,744
28,0,4600,23,261,783
28,1,4658,23,257,781
28,2,4647,23,260,779
28,3,4599,23,263,799
28,4,4585,23,259,773
28,5,4557,23,248,751
28,6,4585,23,255,773
28,7,4637,23,261,780
28,8,4719,23,271,823
28,9,4665,23,254,761
28,10,4744,23,263,795
28,11,4784,23,272,822
28,12,4758,23,269,804
28,13,4834,23,276,827
28,14,4777,23,266,796
28,15,4829,23,273,816
28,16,4929,24,269,805
28,17,4836,23,279,839
28,18,4920,24,269,809
28,19,4981,24,274,827
28,20,5001,24,273,828
28,21,4904,24,276,831
28,22,4901,24,279,844
28,23,4815,23,278,840
29,0,4781,23,264,800
29,1,4748,23,264,799
29,2,4651,23,260,775
29,3,4568,23,256,769
29,4,4605,23,257,769
29,5,4700,23,260,778
29,6,4626,23,255,763
29,7,4673,23,268,803
29,8,4591,23,254,763
29,9,4510,22,259,774
29,10,4446,22,247,746
29,11,4413,22,240,718
29,12,4357,22,248,754
29,13,4392,22,249,753
29,14,4400,22,240,729
29,15,4369,22,242,723
29,16,4337,22,238,718
29,17,4318,22,249,749
29,18,4392,22,250,751
29,19,4370,22,247,747
29,20,4374,22,238,715
29,21,4377,22,250,746
29,22,4459,22,254,771
29,23,4522,22,251,763
30,0,4438,22,257,768
30,1,4484,22,255,766
30,2,4454,22,247,749
30,3,4458,22,247,747
30,4,4395,22,241,727
30,5,4343,22,250,747
30,6,4435,22,250,759
30,7,4446,22,242,733
30,8,4530,22,259,774
30,9,4581,23,262,788
30,10,4595,23,259,782
30,11,4559,23,261,787
30,12,4459,22,253,758
30,13,4527,22,262,783
30,14,4493,22,257,769
30,15,4559,23,254,765
30,16,4526,22,258,780
30,17,4488,22,253,761
30,18,4407,22,240,722
30,19,4384,22,253,769
30,20,4392,22,246,740
30,21,4356,22,244,742
30,22,4295,22,236,710
30,23,4201,22,231,696
31,0,4211,22,234,700
31,1,4144,21,232,699
31,2,4068,21,223,670
31,3,4116,21,227,691
31,4,4053,21,233,701
31,5,4010,21,230,687
31,6,3963,21,217,659
31,7,4063,21,226,686
31,8,4083,21,224,668
31,9,4109,21,227,690
31,10,4075,21,228,689
31,11,4157,21,239,714
31,12,4187,21,228,689
31,13,4220,22,235,715
31,14,4137,21,236,711
31,15,4111,21,234,712
31,16,4164,21,229,694
31,17,4069,21,233,702
31,18,4153,21,233,701
31,19,4154,21,233,704
31,20,4232,22,231,694
31,21,4209,22,241,733
31,22,4120,21,232,696
31,23,4140,21,226,678
32,0,4149,21,226,676
32,1,4202,22,232,705
32,2,4175,21,241,733
32,3,4200,22,242,731
32,4,4236,22,241,727
32,5,4315,22,235,706
32,6,4310,22,245,745
32,7,4252,22,238,718
32,8,4191,21,228,684
32,9,4263,22,235,713
32,10,4178,21,231,693
32,11,4234,22,234,699
32,12,4317,22,250,753
32,13,4366,22,243,731
32,14,4309,22,240,721
32,15,4254,22,236,711
32,16,4311,22,248,742
32,17,4259,22,240,730
32,18,4252,22,242,734
32,19,4296,22,244,731
32,20,4301,22,238,716
32,21,4206,22,236,710
32,22,4304,22,238,709
32,23,4282,22,246,747
